datetime,open,close,high,low,volume,amount,MACD_1h,MACD_1h_Signal,MACD_1h_Hist,KDJ_1h_K,KDJ_1h_D,KDJ_1h_J,RSI_1h_6,RSI_1h_12,RSI_1h_24,ma5_1h,ma10_1h,ma20_1h
2025-04-22 15:00:00,45.2,45.29,45.53,45.14,42482.0,192522643.0,-0.676,-0.636,-0.081,31.68,30.61,33.83,35.28,35.17,42.33,45.344,45.46,46.116
2025-04-23 10:30:00,45.42,44.67,45.77,44.56,110796.0,499377250.0,-0.705,-0.65,-0.112,23.5,28.24,14.03,22.47,29.45,39.46,45.124,45.381,45.954
2025-04-23 11:30:00,44.65,44.77,44.86,44.5,42098.0,188018849.0,-0.712,-0.662,-0.101,21.29,25.92,12.03,27.56,31.41,40.14,45.014,45.333,45.806
2025-04-23 14:00:00,44.78,44.85,45.08,44.77,41517.0,186656465.0,-0.704,-0.67,-0.066,21.49,24.44,15.57,31.86,33.04,40.7,44.952,45.26,45.694
2025-04-23 15:00:00,44.85,44.69,44.89,44.61,45686.0,204203263.0,-0.701,-0.677,-0.049,18.66,22.52,10.95,27.89,31.42,39.92,44.854,45.159,45.578
2025-04-24 10:30:00,44.6,44.38,44.65,44.17,64929.0,288289234.0,-0.716,-0.685,-0.063,16.35,20.46,8.13,21.63,28.46,38.43,44.672,45.008,45.438
2025-04-24 11:30:00,44.38,43.86,44.41,43.68,65567.0,288448165.0,-0.761,-0.7,-0.123,13.77,18.23,4.85,14.89,24.28,36.08,44.51,44.817,45.281
2025-04-24 14:00:00,43.86,43.91,44.0,43.73,23141.0,101526730.0,-0.784,-0.717,-0.134,12.85,16.44,5.67,17.84,25.43,36.47,44.338,44.676,45.14
2025-04-24 15:00:00,43.92,43.99,43.99,43.86,29320.0,128800071.0,-0.786,-0.731,-0.111,13.51,15.46,9.61,22.97,27.35,37.11,44.166,44.559,45.015
2025-04-25 10:30:00,44.15,44.6,45.13,44.0,105739.0,471526698.0,-0.731,-0.731,0.0,23.68,18.2,34.64,50.97,40.19,41.79,44.148,44.501,44.964
2025-04-25 11:30:00,44.59,44.78,44.97,44.54,32099.0,143686934.0,-0.664,-0.717,0.106,41.07,25.83,71.57,56.56,43.41,43.09,44.228,44.45,44.955
2025-04-25 14:00:00,44.78,44.59,44.86,44.59,23888.0,106891279.0,-0.62,-0.698,0.156,48.3,33.32,78.27,49.43,40.88,42.05,44.374,44.442,44.912
2025-04-25 15:00:00,44.59,44.58,44.7,44.5,34616.0,154342550.0,-0.579,-0.674,0.19,52.89,39.84,78.99,49.03,40.74,42.0,44.508,44.423,44.878
